,Original Mean,Synthetic Mean,Original Std,Synthetic Std
BusinessHour,0.2940646367701891,0.2880104108400589,0.45562370948067193,0.4528385528643139
Day,15.704549806810629,15.71988904236253,8.801910492044648,8.795060515263293
DayOfWeek,3.00677007648722,3.000022830789603,2.0018717055794824,1.9993263704441093
HOEP,24.151305577146207,23.785116206174887,32.42315316258204,40.97626163325031
Hour,11.702003987698962,11.499868722959784,6.858356061748607,6.922295598472201
IsHoliday,0.025942572629065144,0.026575039097727196,0.15896490245105138,0.16083874440173562
IsWeekend,0.2875987068140088,0.28548760858894306,0.45264555521068717,0.45164893725125976
Market Demand,17739.087053495994,17669.2047389798,2246.616482099539,2569.9042035631987
Month,6.663366113570568,6.5206104953139805,3.513993552741581,3.4471433440749006
Ontario Demand,15611.99262163045,15533.488561235366,2318.224668081975,2639.060575185988
barrie_humidity,75.65465851103376,75.5584064494115,16.561464063997633,20.46271727455258
barrie_temp,6.740702691133564,6.940347311590301,11.294032877953233,12.311620549547163
brampton_humidity,68.7957374426909,68.59334267630972,17.13391646536514,21.64967187005041
brampton_temp,9.207994547891813,9.427433398943865,10.95306096070542,11.846242778704845
brantford_humidity,75.42487017449,75.32871148849405,17.489449469293643,21.437363651375342
brantford_temp,8.379171594966937,8.586558229920692,10.930476701185817,11.895414240260772
brockville_humidity,74.18395232784744,74.13838368204017,17.91417091847677,22.11802938595992
brockville_temp,7.325541549795546,7.530860976610937,11.641225978687261,12.684786151423479
burlington_humidity,70.9565746341793,70.88990774648437,15.114914362401262,19.922377694709816
burlington_temp,9.537121647347732,9.716078207157398,10.074183257773862,10.921042534073083
cornwall_humidity,74.44685884221553,74.37383980271183,18.434584830247957,22.81551713269543
cornwall_temp,7.348735538958917,7.55365013859069,12.096311668767722,13.170887776906676
guelph_humidity,76.16626677030177,76.07170059656194,17.70146182678453,21.68307487199495
guelph_temp,7.5224460139907405,7.726980790763586,10.973779468687777,11.977171089404747
hamilton_humidity,76.18495488493123,76.11328876572345,16.81154211521292,20.96978195592968
hamilton_temp,8.412740360244669,8.610053402498892,10.745295162019358,11.67748885535487
kingston_humidity,75.17121196760276,75.25388336721703,16.17823144480637,20.780070612865263
kingston_temp,7.929006567312133,8.099747335234182,10.920656427610496,11.793619116891227
london_humidity,76.42505040947135,76.35121907164586,16.340013501809583,20.280026322126204
london_temp,8.377131560271703,8.594504249523549,10.850002769368498,11.820635601455992
markham_humidity,72.76596487670801,72.67384551419255,14.951619090312317,19.68697319434918
markham_temp,9.18175796694941,9.353428682220922,9.877840523946706,10.577951815954755
mississauga_humidity,68.7957374426909,68.59334268477434,17.13391646536514,21.6496717237502
mississauga_temp,9.207994547891813,9.427433297634918,10.95306096070542,11.846242702011173
niagarafalls_humidity,73.54161738366395,73.59531189780199,16.536449029845482,20.825048424691158
niagarafalls_temp,9.723003615964313,9.900087485851763,10.503972291549182,11.408610562604796
orillia_humidity,75.65465851103376,75.55840639645182,16.561464063997633,20.46271711711711
orillia_temp,6.740702691133564,6.940347195695045,11.294032877953233,12.311620596153695
oshawa_humidity,73.69540288150677,73.53737722100422,17.775599769548066,22.15333799777926
oshawa_temp,8.277782659141854,8.473374038729059,10.825946831567046,11.723926410700837
ottawa_humidity,72.31734874342423,72.15984864612528,18.66956776296757,23.19540996027315
ottawa_temp,6.831957915131853,7.06698458390195,12.235855028692757,13.199917481833372
peterborough_humidity,78.04957588455949,77.98276073141028,18.431391794803453,22.320288782737986
peterborough_temp,7.182498056841608,7.378357850028736,11.386465888500606,12.415809218819078
pickering_humidity,73.69540288150677,73.53737715878763,17.775599769548066,22.153337920933758
pickering_temp,8.277782659141854,8.473374014060584,10.825946831567046,11.723926486472267
sarnia_humidity,75.00173476169556,75.07983132713338,15.87489663669875,20.02276163366912
sarnia_temp,9.089253489236592,9.262200545062699,10.604302873972452,11.574094200617628
thunderbay_humidity,74.88753337163327,74.91369526519786,18.636291803969588,22.618970146288312
thunderbay_temp,3.569353294357519,3.7739553020084897,12.663869405618756,13.706807085396397
toronto_humidity,68.7957374426909,68.59334269419038,17.13391646536514,21.649671878146815
toronto_temp,9.207994547891813,9.4274332609409,10.95306096070542,11.84624273365533
vaughan_humidity,72.19226566636252,72.01084221328203,17.71318845161423,22.2478936332451
vaughan_temp,7.989435977155216,8.218155148327726,11.064036219078323,12.003127672300986
