Hour,Month,DayOfWeek,Ontario Demand,Market Demand,HOEP,toronto_humidity,orillia_humidity,oshawa_humidity,mississauga_humidity,pickering_humidity,brampton_humidity,sarnia_humidity,guelph_humidity,ottawa_humidity,burlington_humidity,thunderbay_humidity,kingston_humidity,vaughan_humidity,markham_humidity,london_humidity,brantford_humidity,peterborough_humidity,niagarafalls_humidity,barrie_humidity,brockville_humidity,hamilton_humidity,cornwall_humidity
11,8,5,14977.038597076495,17153.074507352816,11.076641081707288,98.09191330900616,23.229242502469326,85.36788949592416,52.234386807354845,87.29718184427553,78.46893588061307,83.28697505719684,87.42967814050779,58.98914486176727,61.356038157069946,101.45582497173224,95.3028846648553,50.0667892692307,58.53536902812978,53.873500950189886,88.79666787203777,95.52107500801108,92.90427197362318,89.55495092243379,67.63858415362277,80.023875836198,29.299882086532335
17,1,0,20669.011459013982,19934.03951572596,36.196773024920844,43.340991224690335,30.361010034375383,55.461014417518726,82.17380537154033,73.7905780103189,68.4317187994416,90.18164812223127,61.01264846138492,94.71223090965957,66.11894071821573,82.1803177436537,51.80129832100927,81.81214052430634,91.35967025850688,87.20318921655382,62.2348247164139,82.00827213385459,89.21404289442317,89.0100631439132,22.990253765590403,56.74435843761402,79.20567408443667
1,1,2,16830.022734052585,17006.409221969807,38.32166203010316,100.73626874289317,53.33211875857979,81.08748888726672,32.23842791987689,73.97615033711705,32.83950383643836,47.26923343110476,83.03606571764281,82.7557694770879,66.84901041564208,63.93076004349489,65.68598355185333,90.72423209342908,79.35389741524317,98.37137406847049,95.64639534789745,98.30706390382429,77.18011533421443,88.15331882766733,69.82126385189954,76.0676804997639,97.7043080344356
13,8,0,16308.241240473671,17882.414618424275,27.867220938819806,72.43619185349544,38.77098129689912,88.35475018432548,37.290418101441155,63.0857796292875,78.71163479610821,80.08594904393226,64.94406665113002,83.23595804314459,76.77791787785739,96.23867623470692,74.42215929994748,72.08350988588025,89.06212519001328,69.69653934437957,17.05321909205065,83.4694154793865,97.82437685844874,26.17094985255572,90.37096066097448,62.092274223478256,59.29354911171548
3,7,5,12732.819452705424,20200.29884878474,9.106310529276476,86.2070266586266,70.48934333380991,96.45894884316301,47.57426460267388,31.165887483618196,53.82497739252198,80.07404515153762,67.64322227313144,89.2600128674539,38.220249419370965,68.29697992263287,91.55239905938978,95.4948860036189,78.93853597862824,48.781459819296906,88.14490879636662,64.65257743010811,41.708583534253776,76.78972078909618,65.52381704179821,78.41073663604043,95.1165441444134
20,5,3,10584.258665994936,16549.9097809592,-6.651142837281425,57.74576552440085,90.11393226284923,72.22999456827769,91.73833205571145,60.849360244800835,63.178771865672296,70.76401622110588,55.86094364274806,99.60472821824196,80.88156209178428,58.12747473716713,85.2944465307207,38.54851947417435,57.99172742150917,92.62108652566754,86.13547219992505,62.344575253753646,83.29224231970291,90.43486053153438,84.48543529237253,100.55858664307057,94.79745729939414
15,8,2,18195.94965262909,21092.538261894842,-5.723475510114849,45.80054532418906,42.834727316749046,45.53734938695896,83.5375061188937,85.93592936141738,89.66625671229853,84.55989217472738,81.54369741443391,44.83887504825717,85.31726862863508,83.87074285533915,92.8439635695183,70.8909953124871,88.13858115122736,55.88800822212241,74.16919577740842,61.71538725207919,59.84928350299814,59.65116731180326,86.10447921729457,52.18939994165655,85.59340504848731
12,2,4,14931.678440202077,15705.274328122787,39.56598050423935,64.17650031994816,51.6419377283267,60.817317911753115,39.026721689931996,67.45151440405142,81.13735841932336,78.50910007592822,86.18717367816207,50.47456267273875,83.88469571045002,72.97651437012479,81.5458454954224,62.10109803086248,78.02495743958913,72.65162840513246,67.70274384880071,88.69762800327084,45.64425523158577,93.11936194833332,39.69948696519308,46.73035653284092,99.21573576568049
16,1,0,13525.376623518234,17570.658698885363,22.107556366964282,67.3058705005767,56.99454054231576,95.43264548573583,39.96557693851863,98.05273051559499,58.69599441613086,97.03606172083637,86.63379720606099,27.66411356729542,91.22863044332682,85.33749766071307,49.12097107518154,96.7353183122309,69.43683476946858,98.86707091952175,77.28145789428618,48.05676185628473,65.09204645548357,91.23976051863221,40.61590980835163,63.7019487396424,75.0095065077029
9,3,0,11264.1200990576,20898.90641947282,64.09954830765268,71.87276584701317,75.33709389140513,82.82498149179082,71.2558532943579,58.87990397787025,33.34466119566368,96.9066602195339,92.48641916895876,69.78372777224415,79.96962965200491,81.8611210787617,82.20794058395494,72.9416507257415,66.60563213848032,63.36463772830037,72.30842827731502,92.903911681698,78.64668638713736,87.09550665585073,40.029489841360984,95.62902168955662,98.53103875168806
23,6,5,14300.0670661821,15345.543455909698,3.4066613367699405,74.04655976367897,92.74074358973228,46.65125547106145,68.4882323579942,94.733139155175,65.75894814604155,53.46128819062758,82.59595432387863,71.22919211323025,68.639445380818,87.53773359296814,64.29815764378566,90.85451161298987,82.96424087036934,60.8059372461962,57.69326068861474,92.09405111613954,54.86529514984001,93.10954919101967,96.47351096060491,93.2985743937503,89.66007908517963
13,1,1,16653.711026686007,14404.109425950148,41.789215812767026,70.5800205827839,85.10070817391312,91.01974677291041,67.04758524215514,101.48545505272342,60.856347211178615,76.50043692920612,68.90300902520184,82.97280911009938,89.80577024299868,58.590692911307144,66.5069503172773,94.33323661499804,73.1925979216719,75.65380591562398,71.49893749758127,94.01074077048732,94.46404790638485,80.33512162797795,87.45196039272703,73.33895671719705,74.47375197213177
